_id,text,date,label,predicted_xeno,xeno_probas,xeno_proba,a_code
1234917304883765248,"@usuario Chorrillos, zona liberada de delincuentes venezolanos.",2021-10-22,1,1,[4.25991256e-04 9.99574009e-01],0.9995740087437552,
1208200108006883328,"@usuario Este éxodo sólo nos  obliga a cambiar cosas q no estaban previstas,  la informalidad creció más , se abarato más la mano d obra, aumento la delincuencia, y hasta ahora no hay medidas claras ante sta migración forzada d estos ciudadanos venezolanos q quieren d alguna m cont. Tamb",2021-09-04,1,0,[0.90293649 0.09706351],0.9029364852334733,PER
1170162803879096320,"@usuario @usuario Colombia siempre ha tenido ese proceder, todo lo que aquí se roban y pasa la frontera ellos lo legalizan. El cierre de esa frontera tiene que ser prioridad del gobierno, pero nosotros tenemos que presionar para que eso se logre.",2021-07-01,1,1,[0.05123772 0.94876228],0.9487622763626632,VEN
1301350292341039104,@usuario @usuario @usuario @usuario debe cuidar sus palabras cuando se vayan a referir a pais es soberano como es la RD nosotros tenemos un marco legal que rige la inmigración para ellos venir a trazar pauta como si este país le perteciera a ellos HP metanse con su madre,2021-07-22,1,1,[0.01774644 0.98225356],0.9822535588440432,
1368124417679720448,"@usuario @usuario @usuario Voto sí, si se establece una vida normal interior, sin mascarillas ni toques de queda, y se cierra  la puerta a toda la inmigración ilegal.",2021-10-11,1,1,[0.00138002 0.99861998],0.9986199772133544,
1148233621834215424,"@usuario estos comunistas deberían llevarse un migrante cada uno para su casa y van a ver qué hay que prepararse para recibir alguien en casa , nunca hablan nada positivo, ustedes quieren un chile negativo?",2021-09-27,1,1,[5.50338918e-04 9.99449661e-01],0.9994496610817356,BOL
1381280701908201472,@usuario No queremos ver a ecuatorianos migrando al Perú por favor no voten por la izquierda  emoji cara guiñando el ojo emoji,2021-07-08,1,1,[0.19324343 0.80675657],0.8067565687794882,PER
1234832015414976512,"@usuario Me imagino que de las manadas de inmigrantes ni hablar verdad? Y de las niñas prostituidas en Baleares, no existen , cierto?  Ni las madres que asesinan a sus hijos tampoco?  Creo que la que tiene el problema eres tú, enferma manipulada y manipuladora, mientras los abusos siguen.",2021-09-04,0,0,[0.98736728 0.01263272],0.9873672824689208,
1359567204501618688,Increible el fascismo de la comunidad inmigrante peruana en Chile tratando de hacer un paralelo en contra de otros inmigrantes y siendo un simil de la barbarie promovida por Kast. Partiendo que la comunidad extranjera en Chile que más comete delitos es justamente la de Perú.,2021-09-07,0,0,[0.97947045 0.02052955],0.979470445192664,
1158503412285263872,Chleno es agredido por una manada de inmigrantes que adueñaron de las calles..por esto y mucho más 11 de agosto marcha en todo Chile ..  CHILE SE DEFIENDE  url,2021-08-06,1,1,[0.07175989 0.92824011],0.9282401114892734,CHL
1178017096015458304,@usuario @usuario @usuario @usuario Lamentablemente es asi y no me vengan a decir que no salio un malandraje porque anos tengo afuera y he visto como ha cambiado la situacion. Antes habia seguridad ya no. Parque destrozados venezolanos deambulan por las calles pidiendo comida y eso que no estoy en peru,2021-07-04,1,0,[0.85201369 0.14798631],0.8520136940269094,
1288100190176579584,emoji bandera colombia emoji Y TANTOS COLOMBIANOS QUE HAY EN VENEZUELA  emoji bandera venezuela emoji  Y NUNCA HAN ECHO ESO  emoji cara sonriendo con superioridad emoji  emoji cara enfadada emoji  RT @usuario: Hombre desenfundó su arma y comenzó a dispararle a venezolanos en Colombia (Video)  url  -,2021-08-17,0,0,[0.99341234 0.00658766],0.9934123381632562,
