a_proc_loc,a_code,a_country,a_fdiv,a_fdiv_code,a_county,a_city,a_district,p_postal_code,p_lat,p_lng,here_query_score,here_field_score,is_valid,a_lat,a_lng
strada provinciale brazil,ITA,Italia,Lombardía,,,Somaglia,,,,,0.74,{'streets': [1.0]},[],,
acola,ESP,España,Galicia,GA,,Viana do Bolo,Fradelo,,,,1.0,{'streets': [0.9]},[],,
sbc strada provinciale brazil,ITA,Italia,Lombardía,,,Somaglia,,,,,0.65,{'streets': [1.0]},[],,
esplanada dos ministerios,BRA,Brasil,Minas Gerais,MG,,Caeté,Antônio dos Santos,,,,0.65,"{'state': 0.54, 'streets': [0.9]}",[],,
ilha de senhora do destero,PRT,Portugal,,,,Penafiel,Póvoa,,,,0.82,{'streets': [0.86]},[],,
us sao paulo bairro,BRA,Brasil,Sao Paulo,SP,,Limeira,Bairro Boa Vista,,,,0.88,"{'district': 0.43, 'streets': [0.9]}",[],,
atibaia strada provinciale brazil,ITA,Italia,Basilicata,,,Maratea,,,,,0.73,"{'state': 0.5, 'streets': [1.0]}",[],,
estrada municipal,PRT,Portugal,,,,Covilhã,,,,,1.0,{'streets': [1.0]},[],,
northern brazil,USA,Estados Unidos,Nueva York,NY,,Great Neck,,,,,0.99,"{'streets': [0.9], 'placeName': 0.5}",[],,
no das maravilhas,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,,,,,0.87,{'streets': [0.9]},[],,
nelas delas,VEN,Venezuela,Yaracuy,YA,,Peña,Las Velas,,,,0.6,{'district': 0.7},[],,
ela dela,USA,Estados Unidos,Carolina del Norte,NC,,Bryson City,Ela,,,,0.43,{'district': 1.0},[],,
beorzonte,ROU,Rumanía,,,,Joseni,Borzont,,,,0.78,{'district': 0.95},[],,
brazil strada provinciale,ITA,Italia,Lombardía,,,Somaglia,,,,,0.74,{'streets': [1.0]},[],,
sao paulo rio de janeiro,PHL,Filipinas,National Capital Region,NCR,,Las Piñas,Talon Tres,,,,1.0,"{'streets': [1.0, 1.0]}",[],,
gadolandia,BRA,Brasil,Sao Paulo,SP,,Guarulhos,Pimentas,,,,0.8,{'streets': [0.75]},[],,
nilbog,EST,Estonia,,,,Rõuge,Nilbõ,,,,0.83,{'district': 0.95},[],,
brasilia brazil washington dc,USA,Estados Unidos,Virginia,VA,,Woodbridge,Dale City,,,,0.69,"{'city': 0.57, 'streets': [0.9]}",[],,
senhora do destero sport clube brazil,PRT,Portugal,,,,Seia,Senhora do Desterro,,,,0.5,{'district': 0.94},[],,
leningrado urs,COL,Colombia,,,,Pereira,Leningrado III,,,,0.69,{'district': 0.69},[],,
ruritania,ZAF,Sudáfrica,Western Cape,,,Ottery East,,,,,0.99,{'streets': [0.9]},[],,
nomade,BRA,Brasil,Minas Gerais,MG,,Contagem,Contagem,,,,1.0,{'streets': [0.9]},[],,
kusterverso,BEL,Bélgica,Flandes,VLG,,Knokke-Heist,Het Zoute,,,,0.82,"{'streets': [0.85], 'placeName': 0.95}",[],,
baea,IDN,Indonesia,,,,Kudus,Bae,,,,0.75,{'district': 0.95},[],,
estado novo bairro,BRA,Brasil,Pernambuco,PE,,Olinda,Bairro Novo,,,,0.38,{'district': 0.6},[],,
sulito,PHL,Filipinas,Soccsksargen,,,Polomolok,Sulit,,,,0.83,{'district': 0.95},[],,
brazil mitolandia,IRL,Irlanda,,,,Swords,Brazil,,,,0.75,"{'country': 0.7, 'district': 1.0}",[],,
strada provinciale,ITA,Italia,Lombardía,,,Somaglia,,,,,1.0,{'streets': [1.0]},[],,
viegas city,PHL,Filipinas,Calabarzon,,,Calamba,,,,,0.9,"{'city': 0.31, 'streets': [0.62]}",[],,
rios argentina,CHL,Chile,Los Ríos,LR,,Valdivia,,,,,0.99,"{'state': 0.57, 'streets': [0.9]}",[],,
macapa apartment,IND,India,Maharashtra,MH,,Mumbai,Borivali East,,,,0.67,{'placeName': 0.72},[],,
worldwide,USA,Estados Unidos,Kentucky,KY,,Hebron,,,,,0.99,{'streets': [0.9]},[],,
prairie brazil,USA,Estados Unidos,Texas,TX,,Bailey's Prairie,,,,,0.88,"{'county': 0.56, 'city': 0.5}",[],,
countries,USA,Estados Unidos,Wisconsin,WI,,"Deforest, Village of",,,,,0.99,{'streets': [0.65]},[],,
melanesia,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,,,,,1.0,{'streets': [0.9]},[],,
boarding house brazil,USA,Estados Unidos,Utah,UT,,Helper,,,,,0.68,{'streets': [0.9]},[],,
phily,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Craponne,,,,,1.0,{'streets': [0.9]},[],,
paises de,ESP,España,Islas Baleares,IB,,Artà,,,,,1.0,{'streets': [0.9]},[],,
ursal,USA,Estados Unidos,Indiana,IN,,Greenwood,,,,,0.99,{'streets': [0.9]},[],,
jesus eo dono do,BRA,Brasil,Río Grande del Norte,RN,,Bom Jesus,,,,,0.38,{'city': 0.63},[],,
ceci est passage gloria grove,JAM,Jamaica,,,,St Catherine,Passage Fort,,,,0.52,"{'district': 0.68, 'streets': [0.9]}",[],,
avenida brigadeiro faria lima,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,,,,,1.0,{'streets': [1.0]},[],,
seminario domicilio fixo,BRA,Brasil,Parana,PR,,Curitiba,Seminário,,,,0.41,{'district': 1.0},[],,
leningrado,ECU,Ecuador,Loja,,,Loja,,,,,1.0,{'streets': [1.0]},[],,
